Dates,VDX Index,DJITR Index
1/1/2014,12.9,32397.14
1/2/2014,13.31,32139.6
1/3/2014,12.89,32195.59
1/6/2014,12.68,32107.84
1/7/2014,12.17,32314.72
1/8/2014,12.29,32196.72
1/9/2014,12.39,32161.55
1/10/2014,11.84,32146.48
1/13/2014,12.65,31796.19
1/14/2014,11.93,32022.89
1/15/2014,11.58,32234.27
1/16/2014,11.94,32114.83
1/17/2014,11.64,32196.11
1/20/2014,11.64,32196.11
1/21/2014,12.38,32109.8
1/22/2014,12.66,32036.96
1/23/2014,13.63,31692.6
1/24/2014,17.43,31069.92
1/27/2014,16.69,30989.24
1/28/2014,15.32,31166.67
1/29/2014,16.8,30795.36
1/30/2014,16.82,31010.23
1/31/2014,17.91,30717.2
2/3/2014,20.67,30079.25
2/4/2014,18.55,30220.99
2/5/2014,19.03,30217.28
2/6/2014,16.78,30605.63
2/7/2014,14.91,30929.85
2/10/2014,15.04,30944.94
2/11/2014,14.09,31322.86
2/12/2014,13.97,31313.11
2/13/2014,13.83,31437.94
2/14/2014,13.15,31686.66
2/17/2014,13.15,31686.66
2/18/2014,13.7,31643.14
2/19/2014,14.96,31466.89
2/20/2014,14.4,31651.46
2/21/2014,14.2,31601.06
2/24/2014,13.81,31804.84
2/25/2014,13.41,31750.9
2/26/2014,13.7,31794.63
2/27/2014,13.27,31953.58
2/28/2014,13.22,32049.93
3/3/2014,15.19,31748.16
3/4/2014,13.55,32195.58
3/5/2014,13.44,32125.46
3/6/2014,13.46,32252.95
3/7/2014,13.37,32319.55
3/10/2014,13.65,32252.69
3/11/2014,14.03,32126.16
3/12/2014,13.83,32111.58
3/13/2014,15.54,31662.8
3/14/2014,16.76,31577.85
3/17/2014,14.81,31934.69
3/18/2014,14.06,32109.58
3/19/2014,14.5,31885.47
3/20/2014,13.96,32099.48
3/21/2014,14.29,32043.88
3/24/2014,14.13,31992.63
3/25/2014,13.57,32171.87
3/26/2014,14.27,31977.48
3/27/2014,13.72,31968.14
3/28/2014,13.55,32083.77
3/31/2014,13.16,32348.34
4/1/2014,12.44,32498.04
4/2/2014,12.51,32585.15
4/3/2014,12.73,32584.26
4/4/2014,13.12,32269.99
4/7/2014,14.51,31941.95
4/8/2014,14.07,31974.65
4/9/2014,12.87,32330.73
4/10/2014,14.64,31805.64
4/11/2014,15.51,31523.45
4/14/2014,14.67,31811.58
4/15/2014,14.13,31987.28
4/16/2014,12.83,32314.06
4/17/2014,12.42,32281.97
4/18/2014,12.42,32281.97
4/21/2014,12.59,32362.07
4/22/2014,12.39,32490.18
4/23/2014,12.36,32473.3
4/24/2014,12.4,32473.3
4/25/2014,13.07,32197.42
4/28/2014,12.9,32369.17
4/29/2014,12.76,32539.65
4/30/2014,12.52,32629.12
5/1/2014,12.47,32585.9
5/2/2014,12.29,32495.42
5/5/2014,12.55,32533.01
5/6/2014,13.01,32278.09
5/7/2014,12.63,32541.86
5/8/2014,12.56,32605.75
5/9/2014,12.12,32678.24
5/12/2014,11.43,32899.19
5/13/2014,11.4,32947.79
5/14/2014,11.54,32760.32
5/15/2014,12.08,32444.25
5/16/2014,11.39,32532.04
5/19/2014,11.53,32572.58
