Dates,RVX Index,RTY Index
1/1/2014,17.53,1163.637
1/2/2014,17.95,1150.724
1/3/2014,17.5,1156.086
1/6/2014,17.82,1147.156
1/7/2014,16.97,1157.629
1/8/2014,16.81,1157.458
1/9/2014,16.77,1158.349
1/10/2014,16.03,1164.529
1/13/2014,16.15,1148.091
1/14/2014,15.72,1163.427
1/15/2014,15.31,1171.354
1/16/2014,15.17,1173.134
1/17/2014,15.79,1168.43
1/20/2014,15.79,1168.43
1/21/2014,15.94,1175.723
1/22/2014,15.61,1181.292
1/23/2014,16.59,1172.396
1/24/2014,20.71,1144.134
1/27/2014,21.77,1127.728
1/28/2014,20.01,1138.235
1/29/2014,21.52,1122.451
1/30/2014,21.33,1139.358
1/31/2014,22.9,1130.882
2/3/2014,27.19,1094.583
2/4/2014,25.13,1102.843
2/5/2014,25.8,1093.594
2/6/2014,24.28,1103.926
2/7/2014,21.43,1116.553
2/10/2014,21,1118.734
2/11/2014,19.9,1129.164
2/12/2014,19.16,1132.536
2/13/2014,18.71,1147.785
2/14/2014,18.34,1149.211
2/17/2014,18.34,1149.211
2/18/2014,18.68,1161.482
2/19/2014,20.46,1149.066
2/20/2014,19.35,1162.115
2/21/2014,19.2,1164.632
2/24/2014,18.72,1174.554
2/25/2014,18.39,1173.946
2/26/2014,18.52,1181.72
2/27/2014,18.1,1187.943
2/28/2014,19.52,1183.029
3/3/2014,20.78,1176.359
3/4/2014,19.16,1208.651
3/5/2014,18.77,1205.909
3/6/2014,18.88,1204.545
3/7/2014,18.66,1203.316
3/10/2014,19.24,1200.535
3/11/2014,20.1,1187.047
3/12/2014,19.73,1191.366
3/13/2014,20.96,1176.74
3/14/2014,21.83,1181.413
3/17/2014,20.53,1188.228
3/18/2014,18.79,1205.039
3/19/2014,19.05,1195.661
3/20/2014,19.08,1198.97
3/21/2014,19.38,1193.734
3/24/2014,20.14,1178.235
3/25/2014,19.99,1178.05
3/26/2014,21.12,1155.486
3/27/2014,21.17,1151.441
3/28/2014,21,1151.813
3/31/2014,20.17,1173.038
4/1/2014,18.5,1188.702
4/2/2014,18.13,1192.808
4/3/2014,19.08,1181.12
4/4/2014,20.61,1153.38
4/7/2014,21.93,1135.776
4/8/2014,21,1144.236
4/9/2014,20.15,1159.961
4/10/2014,22.47,1127.659
4/11/2014,23.62,1111.438
4/14/2014,23.47,1115.355
4/15/2014,23.32,1119.495
4/16/2014,21.35,1131.768
4/17/2014,19.97,1137.899
4/18/2014,19.97,1137.899
4/21/2014,19.85,1142.309
4/22/2014,18.95,1155.607
4/23/2014,19.12,1147.08
4/24/2014,19.69,1144.352
4/25/2014,21.39,1123.03
4/28/2014,21.74,1117.062
4/29/2014,21.79,1120.832
4/30/2014,20.17,1126.857
5/1/2014,20.1,1125.97
5/2/2014,20.04,1128.802
5/5/2014,20.42,1126.305
5/6/2014,21.02,1108.014
5/7/2014,20.93,1108.549
5/8/2014,21.38,1097.425
5/9/2014,19.53,1107.218
5/12/2014,17.96,1133.649
5/13/2014,18.18,1121.164
5/14/2014,19.14,1103.139
5/15/2014,19.85,1095.986
5/16/2014,19.42,1102.905
5/19/2014,18.47,1114.43
5/20/2014,19.61,1097.895
5/21/2014,19.27,1103.629
5/22/2014,18.6,1113.87
5/23/2014,17.69,1126.189
5/26/2014,17.69,1126.189
5/27/2014,17.83,1142.201
5/28/2014,18.24,1136.679
5/29/2014,17.95,1140.071
5/30/2014,17.74,1134.5
6/2/2014,18.75,1128.896
6/3/2014,19.18,1126.148
6/4/2014,18.95,1131.215
6/5/2014,17.7,1153.938
6/6/2014,17.09,1165.207
6/9/2014,18.01,1175.876
6/10/2014,17.91,1172.713
6/11/2014,18.17,1166.708
6/12/2014,18.27,1159.401
6/13/2014,18.04,1162.685
6/16/2014,18.09,1166.82
6/17/2014,17.92,1176.619
6/18/2014,16.38,1183.128
6/19/2014,15.98,1184.034
6/20/2014,15.84,1188.426
6/23/2014,16.42,1184.952
6/24/2014,17.56,1173.243
6/25/2014,17.17,1182.679
6/26/2014,17.05,1180.709
6/27/2014,16.47,1189.503
6/30/2014,16.41,1192.964
7/1/2014,16.41,1205.946
7/2/2014,16.49,1199.505
7/3/2014,15.97,1208.15
7/4/2014,15.97,1208.15
7/7/2014,17.74,1186.74
7/8/2014,18.19,1172.147
7/9/2014,17.97,1173.809
7/10/2014,19.05,1161.86
7/11/2014,18.8,1159.93
7/14/2014,18.49,1165.619
7/15/2014,18.84,1153.809
7/16/2014,18.82,1151.547
7/17/2014,20.8,1133.602
7/18/2014,18.92,1151.612
7/21/2014,19.44,1146.658
7/22/2014,18.39,1156.155
7/23/2014,18.35,1158.114
7/24/2014,18.48,1156.26
7/25/2014,18.75,1144.721
7/28/2014,19.38,1139.502
7/29/2014,19.54,1141.643
7/30/2014,19.06,1146.569
7/31/2014,22.22,1120.068
8/1/2014,22.39,1114.857
8/4/2014,21.29,1124.82
8/5/2014,21.62,1121.563
8/6/2014,21.21,1125.551
8/7/2014,21.48,1119.759
8/8/2014,20.52,1131.349
8/11/2014,18.73,1141.926
8/12/2014,18.86,1133.031
8/13/2014,17.94,1141.779
8/14/2014,17.09,1143.344
8/15/2014,17.64,1141.648
8/18/2014,16.55,1158.405
8/19/2014,16.42,1162.467
8/20/2014,16.69,1157.512
8/21/2014,16.18,1160.029
8/22/2014,16.13,1160.343
8/25/2014,16.43,1165.221
8/26/2014,15.94,1175.17
8/27/2014,16.04,1172.714
8/28/2014,16.49,1165.948
8/29/2014,16.43,1174.352
9/1/2014,16.43,1174.352
9/2/2014,16.79,1179.473
9/3/2014,17.39,1172.198
9/4/2014,17.71,1167.214
9/5/2014,16.88,1170.133
9/8/2014,16.73,1172.314
9/9/2014,17.86,1158.499
9/10/2014,17.62,1164.987
9/11/2014,16.79,1172.343
9/12/2014,17.92,1160.607
9/15/2014,18.98,1146.52
9/16/2014,18.26,1150.971
9/17/2014,17.41,1153.89
9/18/2014,16.99,1159.274
9/19/2014,17.24,1146.92
9/22/2014,19.26,1129.362
9/23/2014,20.18,1118.715
9/24/2014,18.97,1128.31
9/25/2014,20.46,1110.242
9/26/2014,19.39,1119.331
9/29/2014,20.26,1117.907
9/30/2014,21.49,1101.676
10/1/2014,21.64,1085.409
10/2/2014,21.23,1096.379
10/3/2014,20.02,1104.743
10/6/2014,20.89,1094.646
10/7/2014,21.99,1076.31
10/8/2014,20.68,1097.123
10/9/2014,23.35,1067.993
10/10/2014,24.35,1053.324
10/13/2014,25.46,1049.303
10/14/2014,24.54,1061.6
10/15/2014,25.49,1072.446
10/16/2014,26.22,1085.846
10/17/2014,25.48,1082.325
10/20/2014,22.96,1094.966
10/21/2014,20.87,1112.847
10/22/2014,22.6,1096.872
10/23/2014,20.94,1116.486
10/24/2014,20.85,1118.824
10/27/2014,20.86,1117.477
10/28/2014,19.66,1149.452
